ID,Discoverer,comets
1,Ambrus A,1
2,Ball B,1
3,Banach E,9
4,Battams K,22
5,Berrett P,37
6,Bezugly V,6
7,Biesecker D,53
8,Biesiada M,27
9,Biros R,1
10,Boonplod W,673
11,Boschat M,60
12,Cane L,3
13,Cao Z,3
14,Cernis K,21
15,Chen D,7
16,Chen T,9
17,Collison P,1
18,Cyr C St,3
19,Danaher J,11
20,Deshmukh S,8
21,Evans D,20
22,Farmer S Jr,13
23,Gallina G,2
24,Gao X,4
25,Godunov A,8
26,Gorelli R,2
27,Gregory S,2
28,Gu S,2
29,Gu W,3
30,Hammer D,5
31,Hanson D,2
32,Harincar T,1
33,Hoenig S,43
34,Hoffman T,117
35,Hui M T,10
36,Isaev E,2
37,Jin Z,6
38,Jager M,1
39,Johnson D,1
40,Kaluzny M,7
41,Kanbi K El,3
42,Kida K,29
43,Kotobuki,1
44,Kracht R,271
45,Kubczak A,26
46,Kusiak M,161
47,Leprette X,100
48,Lewis D,10
49,Liang C,3
50,Lin C,1
51,Liu L,3
52,Liu J,1
53,Liwo S,108
54,Lovejoy T,11
55,Luethen H,1
56,Makkinen T,2
57,Matson R,103
58,Mattiazzo M,6
59,Maysonet P,10
60,Mazzucato M,7
61,McCarty B,9
62,Meyer M,40
63,Mimeev A,4
64,Mulye S,11
65,Nakano A,1
66,Nakonechny K,4
67,Oates M,144
68,Otterstedt H,7
69,Pappa G,2
70,Prestgard T,78
71,Renai S,2
72,Reszelewski R,4
73,Ruan J,72
74,Sachs J,54
75,Sato H,1
76,Scarmato T,25
77,Schenk K,11
78,Schmalz S,94
79,Shanklin J,5
80,Sharma P,2
81,Shkreby P,5
82,Shurpakov S,30
83,Stezelberger S,14
84,Su H,208
85,Sufa A,1
86,Sun G,9
87,Sun P,119
88,Suzuki M,1
89,Tan H,27
90,Tsai Y S,2
91,Uchina M,373
92,Vourlidas A,5
93,Wang B,1
94,Watson A,4
95,Xu Z,301
96,Yang Z,2
97,Ye Q,7
98,Yuan S,11
99,Zhang J,1
100,Zheng Q,2
101,Zhou B,381
102,Zhou X M,65
103,Zu X,11
104,Zhu J,1
